# 问题一 (beta, alpha) 网格扫描 + 数据项有无对比
# 当前两条件候选集管线; Lena 512, 种子 2026; mu=1, tolP=1e-2, maxit=1500

===== r=30%, #cand=78586 =====
  beta    alpha  withData     it     time    PSNR   conv
     5.0   100.0   True     147    5.33   37.805   True
     5.0   100.0   False    191    7.16   38.348   True
     5.0   300.0   True      59    2.18   37.997   True
     5.0   300.0   False     77    2.86   38.366   True
     5.0  1000.0   True      31    1.10   37.779   True
     5.0  1000.0   False     30    1.21   38.320   True
    20.0   100.0   True     198    7.45   38.253   True
    20.0   100.0   False    255    9.68   38.348   True
    20.0   300.0   True      76    2.72   38.335   True
    20.0   300.0   False     87    3.27   38.366   True
    20.0  1000.0   True      36    1.35   38.285   True
    20.0  1000.0   False     37    1.34   38.320   True
    40.0   100.0   True     244    9.50   38.317   True
    40.0   100.0   False    255    9.80   38.348   True
    40.0   300.0   True      85    2.85   38.357   True
    40.0   300.0   False     97    3.40   38.366   True
    40.0  1000.0   True      41    1.39   38.311   True
    40.0  1000.0   False     38    1.29   38.320   True
    80.0   100.0   True     273   10.06   38.339   True
    80.0   100.0   False    263    9.23   38.348   True
    80.0   300.0   True      86    2.88   38.363   True
    80.0   300.0   False    110    3.70   38.366   True
    80.0  1000.0   True      39    1.27   38.318   True
    80.0  1000.0   False     41    1.38   38.320   True
   200.0   100.0   True     218    8.02   38.346   True
   200.0   100.0   False    283    9.76   38.348   True
   200.0   300.0   True     107    3.81   38.365   True
   200.0   300.0   False    116    3.88   38.366   True
   200.0  1000.0   True      49    1.60   38.320   True
   200.0  1000.0   False     44    1.42   38.320   True

===== r=50%, #cand=130901 =====
  beta    alpha  withData     it     time    PSNR   conv
     5.0   100.0   True     198   12.16   34.330   True
     5.0   100.0   False    189   10.07   34.680   True
     5.0   300.0   True      74    4.37   34.456   True
     5.0   300.0   False     71    3.73   34.739   True
     5.0  1000.0   True      30    1.78   34.236   True
     5.0  1000.0   False     36    1.88   34.744   True
    20.0   100.0   True     253   15.37   34.631   True
    20.0   100.0   False    239   13.12   34.680   True
    20.0   300.0   True      80    4.66   34.719   True
    20.0   300.0   False     91    4.53   34.739   True
    20.0  1000.0   True      36    1.96   34.711   True
    20.0  1000.0   False     37    1.88   34.744   True
    40.0   100.0   True     270   16.45   34.665   True
    40.0   100.0   False    274   14.76   34.680   True
    40.0   300.0   True     100    5.75   34.734   True
    40.0   300.0   False     98    5.20   34.739   True
    40.0  1000.0   True      43    2.59   34.736   True
    40.0  1000.0   False     39    2.07   34.744   True
    80.0   100.0   True     226   14.40   34.676   True
    80.0   100.0   False    310   17.14   34.680   True
    80.0   300.0   True      93    5.39   34.738   True
    80.0   300.0   False    102    5.78   34.739   True
    80.0  1000.0   True      44    2.59   34.742   True
    80.0  1000.0   False     45    2.37   34.744   True
   200.0   100.0   True     319   19.75   34.679   True
   200.0   100.0   False    327   17.62   34.680   True
   200.0   300.0   True     101    5.81   34.739   True
   200.0   300.0   False    115    5.75   34.739   True
   200.0  1000.0   True      46    2.72   34.744   True
   200.0  1000.0   False     45    2.16   34.744   True
