potential,r,alpha,beta,it,psnr,conv,gap,psnr_b640_ref,gain
sqrt,0.3,300.0,1280.0,122,38.3655,True,0.005358112224485012,38.365,0.0005
power,0.3,1.4,1280.0,143,38.3452,True,0.0049545701169790846,38.345,0.0002
logcosh,0.3,0.1,1280.0,483,38.2277,True,0.008568455179158718,38.182,0.0457
log1,0.3,3.0,1280.0,636,38.3135,True,0.009843994066898176,38.313,0.0005
huber,0.3,30.0,1280.0,1405,38.1904,True,0.009534185402117146,38.19,0.0004
sqrt,0.5,1000.0,1280.0,50,34.7439,True,0.002678419919107,34.744,-0.0001
power,0.5,1.6,1280.0,87,34.7597,True,0.005825678985132754,34.76,-0.0003
logcosh,0.5,0.1,1280.0,1465,34.6114,True,0.009604841579800905,34.589,0.0224
log1,0.5,3.0,1280.0,595,34.6151,True,0.007786546605331068,34.615,0.0001
huber,0.5,30.0,1280.0,1346,34.6642,True,0.007150281207714215,34.664,0.0002
