potential,r,psnr_mean,snr_mean,ssim_mean,edge_psnr_mean,mae_mean,psnr_n_mean,it_mean,t_mean,psnr_std,snr_std,ssim_std,edge_psnr_std,mae_std,psnr_n_std,it_std,t_std,alpha,beta
sqrt,0.3,37.336357994134126,31.55684921266625,0.9526003226975495,33.639858140048375,1.317814972726168,32.80631156927483,77.0,2.412706450006226,1.7567324884790314,1.9196222975257882,0.03522132115393898,0.7125324524740976,0.545890461007639,1.6135152640455996,6.442049363362563,0.2127590755164141,300.0,40.0
sqrt,0.5,34.55187012415353,28.772361342685656,0.9349553099480095,30.5276225635113,2.0096516190014424,31.678900244066654,101.0,4.936022250010865,0.6384968016547629,0.8015328903201129,0.039819365279691876,0.13553723872820397,0.5655482309135016,0.6080702868432803,10.222524150130436,0.5346097096614518,300.0,640.0
power,0.3,37.28807061739334,31.508561835925462,0.9514782822517793,33.61261880480723,1.2945591216504289,32.758024192534045,1500.0,96.89271539999754,1.8113984549660436,1.9743410507890995,0.036085750317810694,0.75456492206218,0.5279796947625605,1.66819549168646,0.0,2.600325904843363,1.4,5.0
power,0.5,34.523528038360155,28.74401925689228,0.9344657468590215,30.483913989364993,2.005932038328181,31.65055815827327,1500.0,143.17255227499845,0.7018568612368392,0.8649255567005625,0.03983453510696377,0.05006482083066124,0.5454860112831854,0.6714405925087501,0.0,2.577951236169029,1.6,80.0
logcosh,0.3,37.26440837480628,31.484899593338408,0.9524445852575821,33.568684569777325,1.3099022771048716,32.73436194994699,631.25,38.891502875005244,1.692326574727485,1.855118151948388,0.035289505121975484,0.644036990476764,0.5437269352393428,1.5490883385386605,150.02728918433473,9.340441261800079,0.1,640.0
logcosh,0.5,34.46666411658901,28.68715533512113,0.934881619122438,30.4410938331466,1.9940662359868264,31.593694236502127,576.25,52.89794422499108,0.5473351164722291,0.7104052860074752,0.039572700012460715,0.22951514961526595,0.5591804096507229,0.5169206041802061,134.44585341318637,13.972228861140758,0.1,640.0
log1,0.3,37.32581956267137,31.546310781203495,0.9516956934512066,33.659686773798384,1.2890750572791536,32.795773137812084,520.75,27.808820400001423,1.7977768045125104,1.9606058546034832,0.03588876870130728,0.7316220304695974,0.5352565599383632,1.6545274205578315,74.76755646669216,4.720225843148301,3.0,640.0
log1,0.5,34.512662324760896,28.733153543293014,0.934086847074219,30.505108783732435,1.9591954251230224,31.63969244467401,598.75,47.56499845000508,0.613766437219897,0.7768278649721365,0.039689406560181474,0.17163548369194284,0.5405921906751191,0.583367392395966,34.16412592179112,1.608291569498678,3.0,640.0
huber,0.3,37.14406195711916,31.364553175651288,0.9523288116762338,33.399636705033856,1.3454032642458034,32.61401553225987,95.0,3.434194250003202,1.6641384192014859,1.8270520352991129,0.035154775927647854,0.6566665469965509,0.5423920212918862,1.5209314563162497,13.095800853708795,0.4980928657636687,30.0,40.0
huber,0.5,34.373114069322895,28.59360528785502,0.9342589806993503,30.308237224755743,2.057710000534977,31.500144189236014,776.25,45.74271617500199,0.6030697136501239,0.7661208979591256,0.039984301973647635,0.1368328729033861,0.5623909015143124,0.5726494225905185,227.26017578977624,14.574076766154684,30.0,640.0
