method,it,t,rel,obj,tp,fp,conv,it_to_target,t_to_target
GPSR-BB,33,0.15196109999669716,0.23506634523731104,6.330037127400931,160,10,True,33,0.15196109999669716
GPSR-BB+debias,34,0.15758389999973588,0.024617193930446715,7.061982177875406,160,2,True,33,0.15758389999973588
CG-PRP+,169,2.371554700017441,0.24491775865804552,6.362066068136018,160,16,True,nan,nan
CG-PRP无截断,169,2.072557699983008,0.24491775865804552,6.362066068136018,160,16,True,nan,nan
CG-FR,1119,21.866013699996984,0.24211251912918114,6.361814208340827,160,13,True,nan,nan
CG-HS+,176,2.477959899988491,0.24328127023697113,6.361806948694088,160,13,True,nan,nan
CG-DY,1164,21.843167799990624,0.24299319358680255,6.361872385205724,160,13,True,nan,nan
CG-PRP+续延,197,2.900845800002571,0.23991625555253174,6.330444281557497,160,13,True,129,1.6686477000184823
CG-PRP+续延+debias,197,2.900845800002571,0.025293265648550986,7.067774721227726,160,2,True,129,1.6686477000184823
GPSR-BB,32,0.1501814000075683,0.22699525091113315,6.235577421917598,160,14,True,32,0.1501814000075683
GPSR-BB+debias,33,0.1541377000103239,0.02848741719052096,6.934040864516287,160,4,True,32,0.1541377000103239
CG-PRP+,176,2.294604499998968,0.23511144861592098,6.266401961226676,160,18,True,nan,nan
CG-PRP无截断,176,2.2972684999986086,0.23511144861592098,6.266401961226676,160,18,True,nan,nan
CG-FR,1159,21.3665425000072,0.2354136955813406,6.266532781061793,160,17,True,nan,nan
CG-HS+,174,1.886335399991367,0.23473014030410932,6.266334451648087,160,18,True,nan,nan
CG-DY,1222,20.795275700016646,0.235128776098633,6.266480768824057,160,18,True,nan,nan
CG-PRP+续延,177,2.392717900016578,0.233316235487061,6.236179774362662,160,18,True,124,1.489157600008184
CG-PRP+续延+debias,177,2.392717900016578,0.03275378151251718,6.937884569337688,160,6,True,124,1.489157600008184
GPSR-BB,31,0.13628659999812953,0.24245564579240914,6.598128389621369,160,10,True,31,0.13628659999812953
GPSR-BB+debias,32,0.14392589998897165,0.02843116001654912,7.3952835102305725,160,5,True,31,0.14392589998897165
CG-PRP+,167,2.0399494000012055,0.25015337520532405,6.631278367516649,160,10,True,nan,nan
CG-PRP无截断,167,2.02064380000229,0.25015337520532405,6.631278367516649,160,10,True,nan,nan
CG-FR,1019,16.690047299984144,0.24766287985398439,6.631057785119809,160,9,True,nan,nan
CG-HS+,178,2.024427900003502,0.2496428835363796,6.631219170338434,160,10,True,nan,nan
CG-DY,1074,18.243567199999234,0.2483045227455328,6.631286553260427,160,10,True,nan,nan
CG-PRP+续延,181,2.493879600020591,0.2486661577069652,6.598714284876626,160,10,True,124,1.5238775000034366
CG-PRP+续延+debias,181,2.493879600020591,0.03047806773118864,7.399673202084891,160,6,True,124,1.5238775000034366
GPSR-BB,29,0.13139480000245385,0.24213423355752453,6.700812341396198,160,9,True,29,0.13139480000245385
GPSR-BB+debias,30,0.1376025999779813,0.02543908356978495,7.525093492532196,160,2,True,29,0.1376025999779813
CG-PRP+,175,2.1651493000099435,0.2501402006318035,6.734541035063198,160,11,True,nan,nan
CG-PRP无截断,175,2.187031900015427,0.2501402006318035,6.734541035063198,160,11,True,nan,nan
CG-FR,1130,18.60388779998175,0.2502253894729024,6.7345696910429735,160,11,True,nan,nan
CG-HS+,173,1.9475897999946028,0.24987749629340678,6.734508804265218,160,11,True,nan,nan
CG-DY,1100,18.449103499995545,0.2501676007944097,6.734536606091622,160,11,True,nan,nan
CG-PRP+续延,198,2.8822452999884263,0.2465848550821264,6.701235456789528,160,10,True,125,1.5342500999977347
CG-PRP+续延+debias,198,2.8822452999884263,0.028350100323130317,7.528590285505474,160,4,True,125,1.5342500999977347
GPSR-BB,26,0.11219919999712147,0.23734254725118856,7.041282821918778,160,8,True,26,0.11219919999712147
GPSR-BB+debias,27,0.11985419999109581,0.0255709374772191,7.8893647048351365,160,3,True,26,0.11985419999109581
CG-PRP+,170,2.1086582000134513,0.24356814717536027,7.076173003974631,160,9,True,nan,nan
CG-PRP无截断,170,2.140867199981585,0.24356814717536027,7.076173003974631,160,9,True,nan,nan
CG-FR,1064,17.547214699996402,0.2433980301438376,7.076364463955169,160,9,True,nan,nan
CG-HS+,167,1.852950200001942,0.2437815197423752,7.076211495210435,160,9,True,nan,nan
CG-DY,1059,18.616878000000725,0.24330055081696564,7.076422428355395,160,9,True,nan,nan
CG-PRP+续延,162,2.228031100006774,0.24320225563520873,7.0419147778504625,160,9,True,116,1.3548521999910008
CG-PRP+续延+debias,162,2.228031100006774,0.02806216016680864,7.896969072061368,160,5,True,116,1.3548521999910008
GPSR-BB,25,0.10184560000197962,0.23292909475835188,6.853468658853636,160,5,True,25,0.10184560000197962
GPSR-BB+debias,26,0.10102750000078231,0.026610597039016526,7.65998992694217,160,1,True,25,0.10102750000078231
CG-PRP+,167,1.7245056999963708,0.239507710265514,6.887705074736908,160,5,True,nan,nan
CG-PRP无截断,167,1.7312455000064801,0.239507710265514,6.887705074736908,160,5,True,nan,nan
CG-FR,1075,17.98678760000621,0.23908683282321244,6.8878676492459725,160,5,True,nan,nan
CG-HS+,167,1.8351602000184357,0.23950626610236447,6.887736334392044,160,5,True,nan,nan
CG-DY,1068,18.623651300003985,0.23900888195155226,6.887713582447589,160,5,True,nan,nan
CG-PRP+续延,182,2.5473433000152,0.23742968319459495,6.853891651340191,160,5,True,119,1.3769824000191875
CG-PRP+续延+debias,182,2.5473433000152,0.027115280093882095,7.660650247210377,160,1,True,119,1.3769824000191875
GPSR-BB,29,0.13070280000101775,0.25137902066131906,6.816247620847412,160,9,True,29,0.13070280000101775
GPSR-BB+debias,30,0.13165559998014942,0.027507273115774514,7.656117646208829,160,2,True,29,0.13165559998014942
CG-PRP+,167,2.0929035999870393,0.2596903877727679,6.850499561602282,160,10,True,nan,nan
CG-PRP无截断,167,2.162048899976071,0.2596903877727679,6.850499561602282,160,10,True,nan,nan
CG-FR,983,17.490269199974136,0.25607441521707736,6.8503467968261385,160,9,True,nan,nan
CG-HS+,172,2.4254863999958616,0.2590751954731716,6.850421522441216,160,9,True,nan,nan
CG-DY,988,21.18564680000418,0.25618204618762525,6.850359878462796,160,9,True,nan,nan
CG-PRP+续延,194,3.4932001999986824,0.2565534210116794,6.8166773731494334,160,9,True,124,2.0984104000090156
CG-PRP+续延+debias,194,3.4932001999986824,0.028800428431115604,7.661721291056155,160,3,True,124,2.0984104000090156
GPSR-BB,27,0.14242119999835268,0.22113113852799698,6.80256049477197,160,5,True,27,0.14242119999835268
GPSR-BB+debias,28,0.14815100000123493,0.0257344740758439,7.561419636434522,160,2,True,27,0.14815100000123493
CG-PRP+,148,1.814669999992475,0.22850036031655108,6.835807295207132,160,9,True,nan,nan
CG-PRP无截断,148,1.7630578000098467,0.22850036031655108,6.835807295207132,160,9,True,nan,nan
CG-FR,1097,22.881260099995416,0.22783602158576444,6.835784689467131,160,7,True,nan,nan
