seed,config,it_to_target,t,reached_target
0,zero_init_grad_stop,260,3.496423099999447,True
0,atb_init_rel_stop,129,1.6905749999987165,True
1,zero_init_grad_stop,257,3.1616648999988683,True
1,atb_init_rel_stop,124,1.6134674000004452,True
2,zero_init_grad_stop,265,3.050787500000297,True
2,atb_init_rel_stop,124,1.5622975999995106,True
3,zero_init_grad_stop,256,2.955299900000682,True
3,atb_init_rel_stop,125,1.564677100001063,True
4,zero_init_grad_stop,253,2.4508666999990965,True
4,atb_init_rel_stop,116,1.2027610000004643,True
5,zero_init_grad_stop,250,2.2806768999998894,True
5,atb_init_rel_stop,119,1.1955748999989737,True
6,zero_init_grad_stop,259,2.447503500001403,True
6,atb_init_rel_stop,124,1.26212040000064,True
7,zero_init_grad_stop,248,2.3099103000004106,True
7,atb_init_rel_stop,120,1.2280473000009806,True
8,zero_init_grad_stop,256,2.4114869000004546,True
8,atb_init_rel_stop,119,1.2390934999984893,True
9,zero_init_grad_stop,269,2.552244000000428,True
9,atb_init_rel_stop,127,1.3280470999998215,True
